id,name,tier,score,inherent_score,target_tier,team,owner,lifecycle,autonomy,exposure,data_sensitivity,findings,urgent_findings,top_finding,flags,platforms,sources,last_seen,assessed_at
acme-ops-mcp-9d16d1,acme/ops-mcp,critical,95.0,95.0,high,,,,,,,6,4,Irreversible actions without human approval,shadow;unowned;incomplete,code_scan,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
hackathon-slack-agent-beba3b,hackathon-slack-agent,critical,95.0,95.0,critical,,,,,,,6,3,No accountable owner,shadow;unowned;incomplete,entra_id,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
acme-finance-scripts-740aa6,acme/finance-scripts,critical,88.3,88.3,critical,,,,,,,4,2,No accountable owner,shadow;unowned;incomplete,code_scan,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
acme-growth-hacks-f93f04,acme/growth-hacks,critical,88.3,88.3,high,,,,autonomous,,,6,4,Hardcoded credential in source,shadow;unowned;incomplete,code_scan,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
account-recovery-agent,Account Recovery Agent,critical,82.1,90.0,high,customer-support,lee.w@acme.example,production,autonomous,public,restricted,4,4,Irreversible actions without human approval,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
chargeback-autopilot,Chargeback Autopilot,critical,67.5,75.0,high,payments,marco.r@acme.example,production,autonomous,internal,restricted,4,4,Irreversible actions without human approval,drift,aws_bedrock;demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
dependency-updater,Dependency Updater,high,59.1,65.7,medium,developer-experience,,production,autonomous,internal,confidential,3,3,Irreversible actions without human approval,unowned,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
oncall-remediator,On-call Remediator,high,58.3,69.0,high,platform,arjun.m@acme.example,production,autonomous,internal,confidential,4,4,Irreversible actions without human approval,drift,aws_bedrock;demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
refund-assistant,Refund Assistant,high,43.4,66.7,high,payments,priya.n@acme.example,production,act_with_approval,customer,confidential,0,0,,,aws_bedrock;demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
lead-enrichment-agent,Lead Enrichment Agent,high,43.1,52.3,medium,growth,sam.o@acme.example,production,autonomous,internal,confidential,2,2,No kill switch,drift,aws_bedrock;demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
candidate-screener,Candidate Screener,high,41.5,47.0,medium,people,zoe.a@acme.example,production,recommend,partner,restricted,2,2,Untrusted input without input guardrails,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
phishing-responder,Phishing Responder,high,40.8,62.7,high,security,kai.s@acme.example,production,act_with_approval,internal,restricted,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
pipeline-doctor,Pipeline Doctor,high,40.8,62.7,high,data,mia.c@acme.example,production,act_with_approval,internal,restricted,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
deploy-copilot,Deploy Copilot,high,40.1,61.7,high,platform,arjun.m@acme.example,production,act_with_approval,internal,confidential,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
campaign-publisher,Campaign Publisher,medium,39.5,60.7,medium,growth,ivy.t@acme.example,staging,act_with_approval,public,internal,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
invoice-matcher,Invoice Matcher,medium,36.9,56.7,medium,finance,omar.f@acme.example,production,act_with_approval,internal,confidential,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
old-faq-bot,Legacy FAQ Bot,medium,35.0,35.0,medium,customer-support,former.employee@acme.example,deprecated,recommend,public,internal,3,1,Untrusted input without input guardrails,,aws_bedrock;demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
support-triage-bot,Support Triage Bot,medium,34.3,52.7,medium,customer-support,dana.k@acme.example,production,recommend,public,confidential,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
access-review-assistant,Access Review Assistant,medium,32.0,49.3,medium,security,rob.g@acme.example,production,recommend,internal,confidential,2,2,Running with more than it declares,drift,aws_bedrock;demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
test-writer,Test Writer,medium,27.5,33.3,low,developer-experience,tom.h@acme.example,development,act_with_approval,internal,confidential,1,1,No kill switch,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
contract-redliner,Contract Redliner,medium,24.5,37.7,medium,legal,ana.p@acme.example,production,recommend,internal,confidential,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
pr-reviewer,PR Reviewer,medium,24.5,37.7,medium,developer-experience,tom.h@acme.example,production,recommend,internal,confidential,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
benefits-helpdesk,Benefits Helpdesk,medium,24.1,37.0,medium,people,zoe.a@acme.example,production,recommend,internal,restricted,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
sql-analyst,SQL Analyst,medium,23.6,36.3,medium,data,mia.c@acme.example,production,read_only,internal,restricted,1,1,Running with more than it declares,drift,aws_bedrock;demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
expense-auditor,Expense Auditor,low,20.2,31.0,low,finance,omar.f@acme.example,production,recommend,internal,confidential,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
sales-email-writer,Sales Email Writer,low,20.0,20.0,low,growth,sam.o@acme.example,production,recommend,internal,internal,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
support-reply-drafter,Support Reply Drafter,low,16.9,26.0,low,customer-support,dana.k@acme.example,production,recommend,internal,confidential,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
threat-intel-summarizer,Threat Intel Summarizer,low,15.4,23.7,low,security,kai.s@acme.example,production,read_only,internal,confidential,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
cost-report-bot,Cloud Cost Reporter,low,12.7,12.7,low,platform,nina.b@acme.example,production,read_only,internal,internal,0,0,,,demo,demo-fleet,2026-09-23T21:09:37+00:00,2026-09-23T21:09:37+00:00
